county_name,state,hwyprop,ryprop,rate_food_env_neg,pct_pub_transport_log,rate_al_pn_gm_env_log,rate_civic_env_log,rate_ed_env_log,rate_ent_env_log,rate_food_env_pos_log,rate_hc_env_log,rate_rec_env_log,rate_trans_env_log,fatal_rate_log,county_pop_2000,pct_rent_occ,pct_vac_units,med_hh_value,med_hh_inc,pct_pers_lt_pov,pct_no_eng,pct_hs_more,pct_unemp,med_rooms,work_out_co,pct_mt_10units_log,violent_rate_log
Autauga County,AL,0.0633767,0.1036773,0.0008014,-1.386294,-8.687982,-9.261686,-7.849236,-8.002276,-6.522561,-6.365576,-9.715349,-10.45861,-7.327446,43671,19.17141,9.393047,94800,42013,10.9,2.8,78.7,4.9,5.8,60.3,0.3001046,6.067441
Baldwin County,AL,0.0458355,0.1307381,0.0008831,-1.049822,-8.159519,-9.839668,-7.704154,-7.792305,-6.173946,-5.765621,-8.02265,-9.675555,-7.614494,140415,20.4207,25.50851,122500,40250,10.1,4,82,4.3,5.3,27.3,2.521721,6.185848
Barbour County,AL,0.0469483,0.1666806,0.0009643,-1.386294,-8.296453,-9.145536,-7.907292,-9.049924,-6.368576,-6.116507,-8.78933,-8.848479,-7.676165,29038,26.84216,16.46738,68600,25101,26.8,3.6,64.7,5.7,5.3,16.5,-0.0512933,5.844631
Bibb County,AL,0.0365625,0.1168131,0.0003361,-0.597837,-8.515195,-9.87597,-8.44139,-9.114121,-6.852983,-6.831304,-9.679544,-9.830237,-7.516102,20826,19.80865,11.0725,74600,31420,20.6,1.8,63.2,6.2,5.4,59.4,0.7178398,6.225608
Blount County,AL,0.0082378,0.1205801,0.000588,-1.386294,-8.980022,-12.59321,-8.516943,-8.378736,-6.651951,-6.626079,-9.092113,-9.647296,-7.289821,51024,16.51181,8.94697,86800,35241,11.7,5.6,70.4,4.8,5.5,59.7,-0.2876821,1.186318
Bullock County,AL,0,0.2688152,0.0011098,-2.995732,-8.238048,-12.59321,-8.181614,-11.16934,-6.417582,-6.240362,-9.21084,-12.05765,-7.72228,11714,25.56448,15.6759,56600,20605,33.5,6.1,60.5,8.6,5.2,33.9,0.9360933,6.245304
Butler County,AL,0.0574859,0.1509719,0.0008879,-1.89712,-8.541486,-9.241882,-7.719123,-9.13709,-6.443141,-6.221104,-8.128705,-9.217365,-6.135035,21399,23.81519,15.65733,57700,24791,24.6,2.2,67.8,10.6,5.4,27.6,0.4382549,6.311212
Calhoun County,AL,0.0330982,0.135291,0.0009532,-0.597837,-7.992761,-9.502097,-7.973852,-8.001977,-6.326266,-5.799605,-8.424386,-9.090781,-7.740739,112249,27.50568,11.72012,71600,31768,16.1,3.5,73.9,6.6,5.4,15.5,1.373716,7.283706
Chambers County,AL,0.0445599,0.126449,0.0005194,-1.049822,-8.838777,-10.39141,-7.952874,-8.799556,-6.388128,-6.000889,-8.488363,-10.31598,-7.760954,36583,24.30795,10.66683,58900,29667,17,2.3,64.2,6.5,5.4,40,-0.0512933,6.409719
Cherokee County,AL,0.0381638,0.1208219,0.0008338,-1.386294,-8.650153,-12.59321,-8.06151,-8.410583,-6.228758,-6.220299,-7.850005,-9.954781,-6.77528,23988,18.28377,30.70232,76100,30874,15.6,2.1,63.5,3.9,5.2,53.6,-0.1625189,6.341377
Chilton County,AL,0.0477408,0.1137612,0.0006314,-1.386294,-7.924143,-9.167329,-8.290257,-8.705935,-6.271602,-6.462268,-8.703221,-10.3783,-7.609035,39593,17.76673,13.39301,81800,32588,15.7,3.6,66.2,4.3,5.4,52.7,-0.7985077,1.186318
Choctaw County,AL,0.0201667,0.2017472,0.0009421,-0.1625189,-7.862008,-9.622906,-7.677244,-9.473004,-6.517269,-6.491977,-8.232955,-12.05765,-7.564667,15922,13.65708,18.82893,60500,24749,24.5,2.1,65,8.8,5.4,35.5,0.2231435,6.206585
Clarke County,AL,0.06944,0.1096471,0.0010048,-1.049822,-8.580666,-10.14441,-8.199286,-8.380043,-6.12967,-5.828717,-9.894527,-9.083708,-7.888985,27867,18.85044,16.25366,67900,27388,22.6,2.1,70.8,8.9,5.4,24.7,0.7178398,6.247283
Clay County,AL,0,0.1386928,0.0006314,-1.049822,-8.814253,-9.516933,-7.718448,-11.16934,-6.25543,-6.619686,-8.773054,-9.484777,-7.910558,14254,22.79272,12.81004,62200,27885,17.1,2.8,66,5.5,5.3,34.1,-0.4307829,6.328034
Cleburne County,AL,0.0631086,0.161161,0.0008497,-1.049822,-9.444798,-12.59321,-7.881543,-8.767579,-6.59258,-6.782754,-8.39078,-12.05765,-6.288766,14123,19.57066,9.678462,71300,30820,13.9,2.6,62.9,5.3,5.3,60.1,-0.4307829,6.383733
Coffee County,AL,0.030345,0.1365526,0.0007795,-1.386294,-8.344922,-9.917688,-7.590655,-7.934978,-6.553022,-6.009405,-8.527496,-9.235659,-8.942988,43615,28.61489,12.17926,76600,33664,14.7,5.1,73.2,5.7,5.5,35.3,0.3001046,5.843472
Colbert County,AL,0.0775976,0.0858922,0.0007093,-1.386294,-7.848851,-10.74305,-7.904037,-7.881145,-6.108493,-5.750544,-8.093397,-9.452412,-7.204074,54984,24.28654,10.08407,72300,31954,14,2.3,73.3,5.2,5.7,34.9,0.7178398,5.464149
Conecuh County,AL,0.0873723,0.1937394,0.0006388,-1.89712,-8.802877,-12.59321,-8.705633,-11.16934,-6.699441,-6.557345,-9.366409,-12.05765,-6.970962,14089,18.93992,20.27529,58600,22111,26.6,2,67.7,9.8,5.4,46.9,0.2231435,6.298781
Coosa County,AL,0.0357812,0.1287334,0.0004917,-0.7985077,-7.998102,-12.59321,-8.581465,-9.250121,-7.766249,-7.227066,-9.24545,-12.05765,-7.08742,12202,15.18582,23.77076,59500,29873,14.9,1.8,65.7,7.1,5.4,75,-1.89712,6.333429
Covington County,AL,0.0418521,0.1123146,0.0009832,-1.89712,-8.546107,-9.395526,-7.59701,-8.516693,-6.209969,-5.856462,-8.179829,-9.096119,-7.25455,37631,22.28261,15.8144,56700,26336,18.4,2,68.4,7.6,5.3,17.8,0.2231435,6.253116
Crenshaw County,AL,0,0.1691664,0.0010245,-1.89712,-8.774023,-9.476978,-8.058661,-11.16934,-6.291327,-6.479453,-7.698184,-12.05765,-7.104927,13665,23.36382,16.0596,51300,26054,22.1,1.8,60.1,5.4,5.2,51.4,-0.4307829,6.232913
Cullman County,AL,0.0316552,0.1176023,0.0007744,-1.386294,-8.991205,-9.808269,-7.968061,-8.612054,-6.35669,-5.992525,-7.92097,-9.562738,-7.210551,77483,21.93382,12.84875,85000,32256,13,3.4,70.4,4.1,5.3,28.5,0.8544154,4.695696
Dale County,AL,0.0570161,0.1274411,0.0006921,-0.597837,-8.067392,-9.375274,-7.576893,-8.261002,-6.781916,-6.353784,-8.341351,-8.687982,-7.477535,49129,35.7612,13.32017,69000,31998,15.1,6.2,77.8,7.7,5.3,35.6,0.7178398,6.255569
Dallas County,AL,0.0466796,0.1254911,0.000949,-0.0512933,-8.618119,-9.104225,-7.695103,-8.586543,-6.59404,-5.962702,-8.584135,-8.632043,-7.457928,46365,34.30862,12.75795,64100,23370,31.1,2.5,70.3,11.2,5.3,13.8,0.2231435,7.487944
DeKalb County,AL,0.0516633,0.1071397,0.0007137,-1.386294,-8.718698,-9.421124,-7.688532,-8.515695,-6.243883,-6.171525,-8.439075,-9.858514,-7.335236,64452,21.27185,10.47378,67200,30137,15.4,6.6,63.8,5.1,5.4,25.1,-0.1625189,5.956809
Elmore County,AL,0.0098289,0.1273404,0.0005769,-1.386294,-8.489578,-9.655144,-7.894334,-8.80022,-6.548753,-6.493562,-9.020961,-10.77099,-7.124109,65874,18.60404,11.64264,98000,41243,10.2,3.1,77.6,5,5.7,66.5,0.3715636,1.186318
Escambia County,AL,0.0449799,0.1463638,0.0012747,-0.2876821,-8.130232,-9.138066,-7.854892,-9.043133,-6.34193,-6.190818,-8.675896,-10.35604,-6.903116,38440,22.93488,13.58196,66700,28319,20.9,2.4,68.5,7,5.4,22,0.6678294,6.266772
Etowah County,AL,0.0540788,0.1214198,0.0008892,-1.89712,-8.117411,-9.209391,-7.646004,-7.871662,-6.25903,-5.740753,-8.684134,-9.185648,-7.602203,103459,25.61096,9.451902,71200,31170,15.7,3,74.1,6,5.6,24.8,1.081805,7.508828
Fayette County,AL,0.0178302,0.1626765,0.0005948,-1.89712,-8.40119,-9.763813,-8.132101,-8.375693,-6.398531,-6.056771,-8.373742,-9.722834,-7.165167,18495,22.78126,11.55571,64100,28539,17.3,1.5,66.1,7.7,5.3,40.4,1.011601,6.079043
Franklin County,AL,0.027428,0.1505262,0.0006085,-0.597837,-9.533304,-9.603457,-8.181257,-8.655307,-6.43694,-6.015327,-8.484,-9.568445,-7.280777,31223,25.68725,10.83715,62800,27177,18.9,7.7,62.1,5.6,5.3,34.9,0.8109302,5.905361
Geneva County,AL,0,0.1439178,0.0007763,-2.995732,-11.69925,-9.421124,-7.70482,-9.847107,-6.481116,-6.577912,-8.474853,-9.391862,-7.047075,25764,19.38532,13.52043,55900,26448,19.6,2.1,65.6,8,5.4,49.4,-0.4307829,6.263187
Greene County,AL,0.0992596,0.1428068,0.0006016,-0.1625189,-9.127839,-12.59321,-8.03338,-8.446734,-6.214108,-6.453532,-8.44464,-9.151129,-5.737024,9974,24.39583,23.17764,57000,19819,34.3,1.8,64.8,13.1,5.2,51.7,1.178655,6.179676
Hale County,AL,0.0110712,0.147249,0.0008729,-1.049822,-9.618309,-12.59321,-7.622841,-11.16934,-6.468984,-7.169965,-9.528481,-9.656628,-7.02547,17185,19.78176,17.28984,66300,25807,26.9,2,65.2,8,5.3,51.8,0.4382549,6.129339
Henry County,AL,0.0561689,0.1703643,0.0007357,-1.386294,-8.941077,-12.59321,-8.221357,-9.492703,-6.458273,-6.514869,-8.524973,-12.05765,-6.851044,16310,19.09579,18.81299,69100,30353,19.1,2.8,66.7,6.3,5.3,53.7,0.0487902,6.262958
Houston County,AL,0.0844085,0.1008333,0.0010137,-0.4307829,-7.763422,-8.883955,-7.233555,-7.627041,-5.984489,-5.675968,-8.124644,-8.790315,-7.884725,88787,30.53246,9.443785,82000,34431,15,3,76.5,5.2,5.4,12.3,1.470176,5.906111
Jackson County,AL,0.0704882,0.1441966,0.0007603,-1.386294,-8.224896,-9.073235,-7.936515,-8.273463,-6.278507,-6.006274,-8.074914,-10.05664,-6.946756,53926,22.06801,10.56355,72400,32020,13.7,2.1,67,5.1,5.3,31.8,0.6678294,4.766225
Jefferson County,AL,0.053554,0.2222646,0.0008519,0.1397619,-8.044069,-9.288356,-7.437849,-7.989806,-6.215008,-5.684377,-8.627287,-9.231564,-8.034305,662047,33.53389,8.639932,90700,36868,14.8,4.6,80.9,6.3,5.6,9.3,2.598979,6.069478
Lamar County,AL,0,0.1174346,0.0006916,-1.049822,-9.550017,-8.954187,-8.808549,-9.471705,-6.516186,-6.373692,-8.871371,-9.585761,-8.015056,15904,23.12925,13.95504,55200,28059,16.1,1.9,65.1,7.1,5.3,36,-0.597837,5.989896
