Private School Name,State Name [Private School] Latest available year,State Name [Private School] 2015-16,Private School Name [Private School] 2015-16,County Name [Private School] 2015-16
'HMAN'SHAWA DAY SCHOOL,ARIZONA,ARIZONA,'HMAN'SHAWA DAY SCHOOL,MARICOPA
123 YOU N ME PRESCHOOL,ILLINOIS,ILLINOIS,123 YOU N ME PRESCHOOL,PEORIA
1ST CEREBRAL PALSY OF NJ,NEW JERSEY,NEW JERSEY,1ST CEREBRAL PALSY OF NJ,ESSEX
1ST CLASS MONTESSORI,TENNESSEE,TENNESSEE,1ST CLASS MONTESSORI,SHELBY
1ST UNITED METHODIST PRESCHOOL & KINDERGARTEN,NORTH CAROLINA,NORTH CAROLINA,1ST UNITED METHODIST PRESCHOOL & KINDERGARTEN,NASH
2450 CHILDCARE INC DBA HAPPY DAYS CHILDC,INDIANA,INDIANA,2450 CHILDCARE INC DBA HAPPY DAYS CHILDC,LAKE
30A LEARNING ACADEMY,FLORIDA,FLORIDA,30A LEARNING ACADEMY,WALTON
565 ACADEMY,OHIO,OHIO,565 ACADEMY,LUCAS
63RD ST MULTICULTURAL ACAD OF ACADEMIC EXCELLENCE,PENNSYLVANIA,PENNSYLVANIA,63RD ST MULTICULTURAL ACAD OF ACADEMIC EXCELLENCE,PHILADELPHIA
91ST PSALM CHRISTIAN SCHOOL,ARIZONA,ARIZONA,91ST PSALM CHRISTIAN SCHOOL,MARICOPA
A B C LITTLE SCHOOL,CALIFORNIA,CALIFORNIA,A B C LITTLE SCHOOL,LOS ANGELES
A BETTER CHANCE SCHOOL/CAL AUTISM FOUNDATION,CALIFORNIA,CALIFORNIA,A BETTER CHANCE SCHOOL/CAL AUTISM FOUNDATION,CONTRA COSTA
A BRIGHT BEGINNING CHILD DEVELOPMENT CENTER,CALIFORNIA,CALIFORNIA,A BRIGHT BEGINNING CHILD DEVELOPMENT CENTER,LOS ANGELES
A CARING TOUCH CHRISTIAN FAMILY CENTER,CALIFORNIA,CALIFORNIA,A CARING TOUCH CHRISTIAN FAMILY CENTER,LOS ANGELES
A CHILD S PLACE,MARYLAND,MARYLAND,A CHILD S PLACE,BALTIMORE CITY
A CHILD S PLACE SCHOOL,NEW JERSEY,NEW JERSEY,A CHILD S PLACE SCHOOL,MONMOUTH
A CHILD'S GARDEN,OREGON,OREGON,A CHILD'S GARDEN,DESCHUTES
A CHILD'S GARDEN,CONNECTICUT,CONNECTICUT,A CHILD'S GARDEN,FAIRFIELD
A CHILD'S PLACE DAY SCHOOL,NEW YORK,NEW YORK,A CHILD'S PLACE DAY SCHOOL,QUEENS
A CHILD'S TOUCH,COLORADO,COLORADO,A CHILD'S TOUCH,ADAMS
