County Name,County Name [Public School] 2015-16,County Number [Public School] 2015-16,Total Number of Public Schools [Public School] 2015-16
Abbeville County SC  ,Abbeville County,45001,10
Acadia Parish LA  ,Acadia Parish,22001,27
Accomack County VA  ,Accomack County,51001,13
Ada County ID  ,Ada County,16001,135
Adair County IA  ,Adair County,19001,5
Adair County KY  ,Adair County,21001,5
Adair County MO  ,Adair County,29001,9
Adair County OK  ,Adair County,40001,18
Adams County CO  ,Adams County,08001,152
Adams County IA  ,Adams County,19003,3
Adams County ID  ,Adams County,16003,3
Adams County IL  ,Adams County,17001,27
Adams County IN  ,Adams County,18001,10
Adams County MS  ,Adams County,28001,12
Adams County ND  ,Adams County,38001,2
Adams County NE  ,Adams County,31001,19
Adams County OH  ,Adams County,39001,9
Adams County PA  ,Adams County,42001,27
Adams County WA  ,Adams County,53001,15
Adams County WI  ,Adams County,55001,5
Addison County VT  ,Addison County,50001,23
Aiken County SC  ,Aiken County,45003,39
Aitkin County MN  ,Aitkin County,27001,10
Alachua County FL  ,Alachua County,12001,72
Alamance County NC  ,Alamance County,37001,39
Alameda County CA  ,Alameda County,06001,402
Alamosa County CO  ,Alamosa County,08003,6
Albany County NY  ,Albany County,36001,77
Albany County WY  ,Albany County,56001,19
Albemarle County VA  ,Albemarle County,51003,28
Alcona County MI  ,Alcona County,26001,2
Alcorn County MS  ,Alcorn County,28003,15
Aleutians East Borough AK  ,Aleutians East Borough,02013,7
Aleutians West Census Area AK  ,Aleutians West Census Area,02016,6
Alexander County IL  ,Alexander County,17003,5
Alexander County NC  ,Alexander County,37003,10
Alexandria city VA  ,Alexandria city,51510,17
Alfalfa County OK  ,Alfalfa County,40003,8
Alger County MI  ,Alger County,26003,5
Allamakee County IA  ,Allamakee County,19005,10
Allegan County MI  ,Allegan County,26005,55
Allegany County MD  ,Allegany County,24001,22
Allegany County NY  ,Allegany County,36003,20
Alleghany County NC  ,Alleghany County,37005,4
Alleghany County VA  ,Alleghany County,51005,7
Allegheny County PA  ,Allegheny County,42003,299
Allen County IN  ,Allen County,18003,88
Allen County KS  ,Allen County,20001,10
Allen County KY  ,Allen County,21003,5
Allen County OH  ,Allen County,39003,35
Allen Parish LA  ,Allen Parish,22003,12
Allendale County SC  ,Allendale County,45005,5
Alpena County MI  ,Alpena County,26007,11
Alpine County CA  ,Alpine County,06003,3
Amador County CA  ,Amador County,06005,17
Amelia County VA  ,Amelia County,51007,5
Amherst County VA  ,Amherst County,51009,11
Amite County MS  ,Amite County,28005,3
Anchorage Municipality AK  ,Anchorage Municipality,02020,101
Anderson County KS  ,Anderson County,20003,7
Anderson County KY  ,Anderson County,21005,8
Anderson County SC  ,Anderson County,45007,55
Anderson County TN  ,Anderson County,47001,29
Anderson County TX  ,Anderson County,48001,28
Andrew County MO  ,Andrew County,29003,11
Andrews County TX  ,Andrews County,48003,6
Androscoggin County ME  ,Androscoggin County,23001,36
Angelina County TX  ,Angelina County,48005,44
Anne Arundel County MD  ,Anne Arundel County,24003,125
Anoka County MN  ,Anoka County,27003,111
Anson County NC  ,Anson County,37007,11
Antelope County NE  ,Antelope County,31003,10
Antrim County MI  ,Antrim County,26009,14
Apache County AZ  ,Apache County,04001,45
Appanoose County IA  ,Appanoose County,19007,11
Appling County GA  ,Appling County,13001,6
Appomattox County VA  ,Appomattox County,51011,4
Aransas County TX  ,Aransas County,48007,5
Arapahoe County CO  ,Arapahoe County,08005,161
Archer County TX  ,Archer County,48009,8
Archuleta County CO  ,Archuleta County,08007,3
Arenac County MI  ,Arenac County,26011,10
Arkansas County AR  ,Arkansas County,05001,9
Arlington County VA  ,Arlington County,51013,39
Armstrong County PA  ,Armstrong County,42005,21
Armstrong County TX  ,Armstrong County,48011,2
Aroostook County ME  ,Aroostook County,23003,49
Arthur County NE  ,Arthur County,31005,2
Ascension Parish LA  ,Ascension Parish,22005,27
Ashe County NC  ,Ashe County,37009,5
Ashland County OH  ,Ashland County,39005,24
Ashland County WI  ,Ashland County,55003,15
Ashley County AR  ,Ashley County,05003,8
Ashtabula County OH  ,Ashtabula County,39007,32
Asotin County WA  ,Asotin County,53003,12
Assumption Parish LA  ,Assumption Parish,22007,10
Atascosa County TX  ,Atascosa County,48013,31
Atchison County KS  ,Atchison County,20005,6
Atchison County MO  ,Atchison County,29005,7
Athens County OH  ,Athens County,39009,20
Atkinson County GA  ,Atkinson County,13003,4
Atlantic County NJ  ,Atlantic County,34001,83
Atoka County OK  ,Atoka County,40005,11
Attala County MS  ,Attala County,28007,11
Audrain County MO  ,Audrain County,29007,14
Audubon County IA  ,Audubon County,19009,3
Auglaize County OH  ,Auglaize County,39011,17
Augusta County VA  ,Augusta County,51015,24
Aurora County SD  ,Aurora County,46003,13
Austin County TX  ,Austin County,48015,14
Autauga County AL  ,Autauga County,01001,17
Avery County NC  ,Avery County,37011,13
Avoyelles Parish LA  ,Avoyelles Parish,22009,12
Baca County CO  ,Baca County,08009,12
Bacon County GA  ,Bacon County,13005,4
Bailey County TX  ,Bailey County,48017,5
Baker County FL  ,Baker County,12003,9
Baker County GA  ,Baker County,13007,1
Baker County OR  ,Baker County,41001,12
Baldwin County AL  ,Baldwin County,01003,45
Baldwin County GA  ,Baldwin County,13009,7
Ballard County KY  ,Ballard County,21007,5
Baltimore city MD  ,Baltimore city,24510,188
Baltimore County MD  ,Baltimore County,24005,173
Bamberg County SC  ,Bamberg County,45009,6
Bandera County TX  ,Bandera County,48019,5
Banks County GA  ,Banks County,13011,5
Banner County NE  ,Banner County,31007,2
Bannock County ID  ,Bannock County,16005,34
Baraga County MI  ,Baraga County,26013,6
Barber County KS  ,Barber County,20007,4
Barbour County AL  ,Barbour County,01005,8
Barbour County WV  ,Barbour County,54001,9
Barnes County ND  ,Barnes County,38003,10
Barnstable County MA  ,Barnstable County,25001,53
Barnwell County SC  ,Barnwell County,45011,11
Barren County KY  ,Barren County,21009,20
Barron County WI  ,Barron County,55005,38
Barrow County GA  ,Barrow County,13013,16
Barry County MI  ,Barry County,26015,22
Barry County MO  ,Barry County,29009,20
Bartholomew County IN  ,Bartholomew County,18005,19
Barton County KS  ,Barton County,20009,15
Barton County MO  ,Barton County,29011,10
Bartow County GA  ,Bartow County,13015,23
Bastrop County TX  ,Bastrop County,48021,29
Bates County MO  ,Bates County,29013,14
Bath County KY  ,Bath County,21011,5
Bath County VA  ,Bath County,51017,3
Baxter County AR  ,Baxter County,05005,10
Bay County FL  ,Bay County,12005,53
Bay County MI  ,Bay County,26017,39
Bayfield County WI  ,Bayfield County,55007,12
Baylor County TX  ,Baylor County,48023,3
Beadle County SD  ,Beadle County,46005,14
Bear Lake County ID  ,Bear Lake County,16007,6
Beaufort County NC  ,Beaufort County,37013,15
Beaufort County SC  ,Beaufort County,45013,34
Beauregard Parish LA  ,Beauregard Parish,22011,12
Beaver County OK  ,Beaver County,40007,8
Beaver County PA  ,Beaver County,42007,56
Beaver County UT  ,Beaver County,49001,7
Beaverhead County MT  ,Beaverhead County,30001,12
Becker County MN  ,Becker County,27005,19
Beckham County OK  ,Beckham County,40009,15
Bedford County PA  ,Bedford County,42009,18
Bedford County TN  ,Bedford County,47003,14
Bedford County VA  ,Bedford County,51019,24
Bee County TX  ,Bee County,48025,13
Belknap County NH  ,Belknap County,33001,22
Bell County KY  ,Bell County,21013,19
Bell County TX  ,Bell County,48027,120
Belmont County OH  ,Belmont County,39013,24
Beltrami County MN  ,Beltrami County,27007,37
Ben Hill County GA  ,Ben Hill County,13017,4
Benewah County ID  ,Benewah County,16009,8
Bennett County SD  ,Bennett County,46007,3
Bennington County VT  ,Bennington County,50003,16
Benson County ND  ,Benson County,38005,12
Bent County CO  ,Bent County,08011,6
Benton County AR  ,Benton County,05007,69
Benton County IA  ,Benton County,19011,15
Benton County IN  ,Benton County,18007,4
Benton County MN  ,Benton County,27009,13
Benton County MO  ,Benton County,29015,11
Benton County MS  ,Benton County,28009,5
Benton County OR  ,Benton County,41003,27
Benton County TN  ,Benton County,47005,8
Benton County WA  ,Benton County,53005,61
Benzie County MI  ,Benzie County,26019,8
Bergen County NJ  ,Bergen County,34003,284
Berkeley County SC  ,Berkeley County,45015,42
Berkeley County WV  ,Berkeley County,54003,34
Berks County PA  ,Berks County,42011,99
Berkshire County MA  ,Berkshire County,25003,47
Bernalillo County NM  ,Bernalillo County,35001,201
Berrien County GA  ,Berrien County,13019,5
Berrien County MI  ,Berrien County,26021,79
Bertie County NC  ,Bertie County,37015,10
Bethel Census Area AK  ,Bethel Census Area,02050,40
Bexar County TX  ,Bexar County,48029,554
Bibb County AL  ,Bibb County,01007,9
Bibb County GA  ,Bibb County,13021,51
Bienville Parish LA  ,Bienville Parish,22013,9
Big Horn County MT  ,Big Horn County,30003,15
Big Horn County WY  ,Big Horn County,56003,16
Big Stone County MN  ,Big Stone County,27011,7
Billings County ND  ,Billings County,38007,2
Bingham County ID  ,Bingham County,16011,33
Black Hawk County IA  ,Black Hawk County,19013,35
Blackford County IN  ,Blackford County,18009,5
Bladen County NC  ,Bladen County,37017,14
Blaine County ID  ,Blaine County,16013,9
Blaine County MT  ,Blaine County,30005,17
Blaine County NE  ,Blaine County,31009,1
Blaine County OK  ,Blaine County,40011,14
Blair County PA  ,Blair County,42013,32
Blanco County TX  ,Blanco County,48031,6
Bland County VA  ,Bland County,51021,2
Bleckley County GA  ,Bleckley County,13023,5
Bledsoe County TN  ,Bledsoe County,47007,5
Blount County AL  ,Blount County,01009,20
Blount County TN  ,Blount County,47009,31
Blue Earth County MN  ,Blue Earth County,27013,27
Boise County ID  ,Boise County,16015,6
Bolivar County MS  ,Bolivar County,28011,24
Bollinger County MO  ,Bollinger County,29017,9
Bon Homme County SD  ,Bon Homme County,46009,16
Bond County IL  ,Bond County,17005,8
Bonner County ID  ,Bonner County,16017,19
Bonneville County ID  ,Bonneville County,16019,51
Boone County AR  ,Boone County,05009,20
Boone County IA  ,Boone County,19015,15
Boone County IL  ,Boone County,17007,19
Boone County IN  ,Boone County,18011,17
Boone County KY  ,Boone County,21015,28
Boone County MO  ,Boone County,29019,53
Boone County NE  ,Boone County,31011,8
Boone County WV  ,Boone County,54005,16
Borden County TX  ,Borden County,48033,1
Bosque County TX  ,Bosque County,48035,13
Bossier Parish LA  ,Bossier Parish,22015,35
Botetourt County VA  ,Botetourt County,51023,15
Bottineau County ND  ,Bottineau County,38009,7
Boulder County CO  ,Boulder County,08013,86
Boundary County ID  ,Boundary County,16021,5
Bourbon County KS  ,Bourbon County,20011,6
Bourbon County KY  ,Bourbon County,21017,10
Bowie County TX  ,Bowie County,48037,54
Bowman County ND  ,Bowman County,38011,5
Box Butte County NE  ,Box Butte County,31013,7
Box Elder County UT  ,Box Elder County,49003,25
Boyd County KY  ,Boyd County,21019,26
Boyd County NE  ,Boyd County,31015,5
Boyle County KY  ,Boyle County,21021,13
Bracken County KY  ,Bracken County,21023,4
Bradford County FL  ,Bradford County,12007,12
Bradford County PA  ,Bradford County,42015,19
Bradley County AR  ,Bradley County,05011,7
Bradley County TN  ,Bradley County,47011,27
Branch County MI  ,Branch County,26023,18
Brantley County GA  ,Brantley County,13025,7
Braxton County WV  ,Braxton County,54007,8
Brazoria County TX  ,Brazoria County,48039,100
Brazos County TX  ,Brazos County,48041,46
Breathitt County KY  ,Breathitt County,21025,10
Breckinridge County KY  ,Breckinridge County,21027,10
Bremer County IA  ,Bremer County,19017,19
Brevard County FL  ,Brevard County,12009,124
Brewster County TX  ,Brewster County,48043,6
Briscoe County TX  ,Briscoe County,48045,2
Bristol Bay Borough AK  ,Bristol Bay Borough,02060,4
Bristol city VA  ,Bristol city,51520,9
Bristol County MA  ,Bristol County,25005,148
Bristol County RI  ,Bristol County,44001,12
Broadwater County MT  ,Broadwater County,30007,3
Bronx County NY  ,Bronx County,36005,444
Brooke County WV  ,Brooke County,54009,10
Brookings County SD  ,Brookings County,46011,18
Brooks County GA  ,Brooks County,13027,4
Brooks County TX  ,Brooks County,48047,4
Broome County NY  ,Broome County,36007,52
Broomfield County CO  ,Broomfield County,08014,15
Broward County FL  ,Broward County,12011,371
Brown County IL  ,Brown County,17009,3
Brown County IN  ,Brown County,18013,6
Brown County KS  ,Brown County,20013,6
Brown County MN  ,Brown County,27015,12
Brown County NE  ,Brown County,31017,4
Brown County OH  ,Brown County,39015,17
Brown County SD  ,Brown County,46013,22
Brown County TX  ,Brown County,48049,24
Brown County WI  ,Brown County,55009,82
Brule County SD  ,Brule County,46015,9
Brunswick County NC  ,Brunswick County,37019,21
Brunswick County VA  ,Brunswick County,51025,6
Bryan County GA  ,Bryan County,13029,10
Bryan County OK  ,Bryan County,40013,23
Buchanan County IA  ,Buchanan County,19019,18
Buchanan County MO  ,Buchanan County,29021,35
Buchanan County VA  ,Buchanan County,51027,10
Buckingham County VA  ,Buckingham County,51029,5
Bucks County PA  ,Bucks County,42017,132
Buena Vista city VA  ,Buena Vista city,51530,5
Buena Vista County IA  ,Buena Vista County,19021,15
Buffalo County NE  ,Buffalo County,31019,27
Buffalo County WI  ,Buffalo County,55011,10
Bullitt County KY  ,Bullitt County,21029,26
Bulloch County GA  ,Bulloch County,13031,16
Bullock County AL  ,Bullock County,01011,4
Buncombe County NC  ,Buncombe County,37021,57
Bureau County IL  ,Bureau County,17011,26
Burke County GA  ,Burke County,13033,5
Burke County NC  ,Burke County,37023,29
Burke County ND  ,Burke County,38013,6
Burleigh County ND  ,Burleigh County,38015,36
Burleson County TX  ,Burleson County,48051,9
Burlington County NJ  ,Burlington County,34005,144
Burnet County TX  ,Burnet County,48053,13
Burnett County WI  ,Burnett County,55013,10
Burt County NE  ,Burt County,31021,7
Butler County AL  ,Butler County,01013,7
Butler County IA  ,Butler County,19023,13
Butler County KS  ,Butler County,20015,43
Butler County KY  ,Butler County,21031,7
Butler County MO  ,Butler County,29023,19
Butler County NE  ,Butler County,31023,7
Butler County OH  ,Butler County,39017,84
Butler County PA  ,Butler County,42019,45
Butte County CA  ,Butte County,06007,101
Butte County ID  ,Butte County,16023,4
Butte County SD  ,Butte County,46019,8
Butts County GA  ,Butts County,13035,5
Cabarrus County NC  ,Cabarrus County,37025,48
Cabell County WV  ,Cabell County,54011,31
Cache County UT  ,Cache County,49005,43
Caddo County OK  ,Caddo County,40015,28
Caddo Parish LA  ,Caddo Parish,22017,68
Calaveras County CA  ,Calaveras County,06009,23
Calcasieu Parish LA  ,Calcasieu Parish,22019,61
Caldwell County KY  ,Caldwell County,21033,5
Caldwell County MO  ,Caldwell County,29025,14
Caldwell County NC  ,Caldwell County,37027,26
Caldwell County TX  ,Caldwell County,48055,16
Caldwell Parish LA  ,Caldwell Parish,22021,6
Caledonia County VT  ,Caledonia County,50005,13
Calhoun County AL  ,Calhoun County,01015,38
Calhoun County AR  ,Calhoun County,05013,2
Calhoun County FL  ,Calhoun County,12013,10
Calhoun County GA  ,Calhoun County,13037,4
Calhoun County IA  ,Calhoun County,19025,6
Calhoun County IL  ,Calhoun County,17013,4
Calhoun County MI  ,Calhoun County,26025,53
Calhoun County MS  ,Calhoun County,28013,9
Calhoun County SC  ,Calhoun County,45017,3
Calhoun County TX  ,Calhoun County,48057,7
Calhoun County WV  ,Calhoun County,54013,4
Callahan County TX  ,Callahan County,48059,12
Callaway County MO  ,Callaway County,29027,24
Calloway County KY  ,Calloway County,21035,13
Calumet County WI  ,Calumet County,55015,22
Calvert County MD  ,Calvert County,24009,25
Camas County ID  ,Camas County,16025,2
Cambria County PA  ,Cambria County,42021,41
Camden County GA  ,Camden County,13039,12
Camden County MO  ,Camden County,29029,16
Camden County NC  ,Camden County,37029,5
Camden County NJ  ,Camden County,34007,175
Cameron County PA  ,Cameron County,42023,2
Cameron County TX  ,Cameron County,48061,180
Cameron Parish LA  ,Cameron Parish,22023,4
Camp County TX  ,Camp County,48063,5
Campbell County KY  ,Campbell County,21037,30
Campbell County SD  ,Campbell County,46021,3
Campbell County TN  ,Campbell County,47013,15
Campbell County VA  ,Campbell County,51031,15
Campbell County WY  ,Campbell County,56005,23
Canadian County OK  ,Canadian County,40017,47
Candler County GA  ,Candler County,13043,4
Cannon County TN  ,Cannon County,47015,7
Canyon County ID  ,Canyon County,16027,81
Cape Girardeau County MO  ,Cape Girardeau County,29031,27
Cape May County NJ  ,Cape May County,34009,34
Carbon County MT  ,Carbon County,30009,19
Carbon County PA  ,Carbon County,42025,24
Carbon County UT  ,Carbon County,49007,11
Carbon County WY  ,Carbon County,56007,13
Caribou County ID  ,Caribou County,16029,7
Carlisle County KY  ,Carlisle County,21039,3
Carlton County MN  ,Carlton County,27017,22
Caroline County MD  ,Caroline County,24011,10
Caroline County VA  ,Caroline County,51033,5
Carroll County AR  ,Carroll County,05015,10
Carroll County GA  ,Carroll County,13045,29
Carroll County IA  ,Carroll County,19027,10
Carroll County IL  ,Carroll County,17015,9
Carroll County IN  ,Carroll County,18015,6
Carroll County KY  ,Carroll County,21041,8
Carroll County MD  ,Carroll County,24013,47
Carroll County MO  ,Carroll County,29033,13
Carroll County MS  ,Carroll County,28015,3
Carroll County NH  ,Carroll County,33003,23
Carroll County OH  ,Carroll County,39019,9
Carroll County TN  ,Carroll County,47017,15
Carroll County VA  ,Carroll County,51035,13
Carson City NV  ,Carson City,32510,13
Carson County TX  ,Carson County,48065,7
Carter County KY  ,Carter County,21043,12
Carter County MO  ,Carter County,29035,5
Carter County MT  ,Carter County,30011,6
Carter County OK  ,Carter County,40019,28
Carter County TN  ,Carter County,47019,20
Carteret County NC  ,Carteret County,37031,18
Carver County MN  ,Carver County,27019,40
Cascade County MT  ,Cascade County,30013,43
Casey County KY  ,Casey County,21045,6
Cass County IA  ,Cass County,19029,13
Cass County IL  ,Cass County,17017,10
Cass County IN  ,Cass County,18017,15
Cass County MI  ,Cass County,26027,21
Cass County MN  ,Cass County,27021,19
Cass County MO  ,Cass County,29037,43
Cass County ND  ,Cass County,38017,54
Cass County NE  ,Cass County,31025,16
Cass County TX  ,Cass County,48067,20
Cassia County ID  ,Cassia County,16031,18
